They say no again.|Они снова говорят нет.|human
1.-Go to your Home screen.|1. Перейдите на главный экран.|human
2.-Tap the  menu( 3 horizontal lines) More icon at the bottom of the screen.|2. Нажмите значок меню «Подробнее» (3 горизонтальные линии) в нижней части экрана.|human
Tap Settings.|Нажмите «Настройки».|human
Tap Accounts.|Нажмите «Учетные записи».|human
Under #PRS_ORG#, tap Sign out.|В #PRS_ORG# нажмите «Выйти из учетной записи».|human
A confirmation screen will appear.|Появится экран подтверждения.|human
Tap Sign out.|Нажмите «Выйти из учетной записи».|human
Please note, delivery time can take longer in some different transit conditions like custom clearance, lack of proper address, address change or some other reasons.|Пожалуйста, обратите внимание, время доставки может увеличиться в некоторых других условиях транзита, таких как таможенное оформление, отсутствие точного адреса, изменение адреса или по некоторым другим причинам.|human
If you have any query or problem, then feel free to contact us through the eBay Message system, or click on "Ask a Seller" tab below each listing.|Если у вас есть вопрос или проблема, не стесняйтесь обращаться к нам через систему сообщений eBay или нажмите вкладку «Спросить продавца» под каждым списком.|human
We reply within 24 hours.|Мы отвечаем в течение 24 часов.|human
Please note that import duties taxes, VAT, quarantine fees, address change fees, or any other taxes are not included in the item price or in shipping charges.|Пожалуйста, обратите внимание, что таможенные пошлины и налоги, НДС, карантинные сборы или любые другие налоги не включены в стоимость товара или стоимость доставки.|human
These charges are the buyer's responsibility.|Эти расходы являются ответственностью покупателя.|human
You are requested to please check with your country's custom office to determine what these additional costs or taxes etc. are before bidding / buying this item(s).|Вас просят, пожалуйста, уточнить в таможне своей страны, чтобы определить, какими являются дополнительные расходы и налоги и т. д., перед тем, как участвовать в аукционе или покупать эти товары.|human
We do not have any control on customs charges or custom clearance time or on any other charges; hence, the delivery time is for reference only.|У нас нет какого-либо контроля над таможенными расходами или временем таможенного оформления или над другими расходами; следовательно, время доставки является всего лишь приблизительным.|human
Transit times may vary particularly during peak periods.|Сроки доставки могут изменяться, особенно в периоды наибольшей загруженности.|human
To update your payment information please follow these steps:|Чтобы обновить Ваши платежные данные, выполните следующие действия:|human
Log in to your #PRS_ORG# account.|Войдите в свою учетную запись #PRS_ORG#.|human
Click on "My Account" and in the menu select "Account Settings”|Нажмите «Моя учетная запись» и выберите в меню «Настройки учетной записи»|human
Select the “Payment Information” tab.|Выберите вкладку «Платежные данные».|human
Under “Payment Information”, select the type of credit card and enter your card number, security code (CVV), name on the card, and expiration date.|Во вкладке «Платежные данные» выберите тип кредитной карты и введите номер Вашей карты, код безопасности (CVV), имя на карте и срок действия.|human
Click "Save”|Нажмите «Сохранить»|human
did yo utried this steps?|вы пробовали выполнить эти действия?|human
It was spilled by our rider accidentally.|Наш водитель случайно разлил его.|human
We will only send you a new order.|Мы отправим вам только новый заказ.|human
Your re-delivery is now being prepared by the restaurant.|Повторный заказ сейчас готовится в ресторане.|human
I kindly ask for your patience and wait for your order to be delivered within #NUMBER# minutes.|Любезно прошу вас потерпеть еще немного и дождаться доставки вашего заказа в течение #NUMBER# минут.|human
You're welcome, one moment please.|Добро пожаловать, подождите немного.|human
I've ordered a replacement item for you, this is scheduled to dispatch on February 19.|Мы заказали товар-заменитель для Вас, его отправка запланирована на 19 февраля.|human
I will just arrange a returns label for you now.|Теперь я просто подготовлю для Вас возвратную накладную.|human
your account is anjahoehn.|Ваша учетная запись — anjahoehn.|human
In you r acclount says that its only link ( sign in option) to access your #PRS_ORG# account is #PRS_ORG#.|В Вашей учетной записи указано, что для доступа к Вашей учетной записи в #PRS_ORG# действует только ссылка #PRS_ORG# (параметр входа).|human
your username is anjahoehne  email address/ I sent a link to rest your password.|Ваше имя пользователя anjahoehne адрес электронной почты/ я отправил Вам ссылку для восстановления Вашего пароля.|human
I wait here for you|Я жду Вас здесь|human
How did it go?|Как все прошло?|human
did you receive the link to rest your password?|вы получили ссылку для сброса своего пароля?|human
are you there ?|вы здесь?|human
I sent another link to reset your password.|Вам отправлена еще одна ссылка для сброса своего пароля.|human
please check your mail.|пожалуйста, проверьте свою почту.|human
for quality purposes I will have to release this chat if there is no interaction in the next 2 minutes|в целях обеспечения качества я закрою этот диалог при отсутствии взаимодействий в течение следующих 2 минут|human
The good neighborly ties are still overshadowed by World War II, especially under Poland's current right-wing government, which is saying Germany owes Poland compensation for wartime damages.|Хорошие соседские отношения до сих пор омрачены Второй мировой войной, особенно при нынешнем Польском правительстве правого крыла, которое утверждает, что Германия должна выплатить Польше компенсацию за ущерб, нанесенный во время войны.|human
Agnieszka Lada-Konefal, the deputy director of the German Institute for Polish Affairs in Darmstadt, Germany, expects Scholz's government to continue dialogue and contact with Poland, which is an important member on EU's eastern flank and Germany's fifth-largest trading partner.|Агнешка Лада-Конефаль, заместительница директора Немецкого института Польши в Дармштадте, Германия, надеется, что правительство Шольца продолжит диалог и контакты с Польшей, которая является важным членом восточной части ЕС и пятым крупнейшим торговым партнером Германии.|human
The visit comes 30 years after the two parliaments ratified a treaty on good neighborly relations and friendly cooperation.|Визит состоялся через 30 лет после того, как два парламентера ратифицировали договор о добрососедских отношениях и дружественном сотрудничестве.|human
Germany's new foreign minister, Annalena Baerbock, was in Warsaw on Friday.|Новый министр иностранных дел Анналена Бербок в пятницу посетила Варшаву.|human
She voiced Germany's support for Poland which has sealed its eastern frontier to migrants who are apparently encouraged by the Belarus government to seek illegal passage.|Она сообщила, что Германия поддерживает Польшу, закрывшую восточные границы для мигрантов, которых на незаконный переход, по-видимому, подталкивает правительство Белоруссии.|human
She also called for humanitarian treatment of the migrants stuck at the border.|Она также запросила гуманитарную поддержку для мигрантов, застрявших на границе.|human
Poland and the EU say the government of Belarusian President Aleksander Lukashenko is seeking to destabilize the bloc by encouraging migration into its countries.|Польша и ЕС сообщают, что правительство Белорусского президента Александра Лукашенко старается нарушить стабильность блока, поощряя миграцию в эти страны.|human
On Friday, Scholz met with French President Emmanuel Macron in Paris and later with EU and NATO officials in Brussels.|В пятницу Шольц встретился с президентом Франции Эммануэлем Макроном в Париже и позже с представителями ЕС и НАТО в Брюсселе.|human
Scholz, a center-left politician, became Germany's ninth post-World War II chancellor, opening a new era for the EU's most populous nation and largest economy after Angela Merkel's 16-year tenure.|Шольц, левоцентристский политик, стал девятым канцлером Германии после Второй мировой войны, открыв новую эпоху для самой крупной нации и мощнейшей экономики ЕС после 16-летнего срока Ангелы Меркель.|human
His government is made up of a coalition of his center-left Social Democrats, the environmentalist Greens and the pro-business Free Democrats.|Его правительство представляет собой коалицию его левоцентристских социал-демократов, экологической партии зеленых и выступающих за интересы бизнеса свободных демократов.|human
The lead times are as advertised on the website.|Сроки доставки соответствуют заявленным на веб-сайте.|human
I do apologise about this, we must gain permission from the account holder to discuss an order with another person, I apologise if this was done previously, however, I would not be able to discuss this with yourself without the account holders permission.|Приношу свои извинения за это, но мы должны получить разрешение владельца учетной записи на обсуждение заказа с другим человеком, если вы делали это ранее, я извиняюсь, однако я считаю невозможным обсуждать это с Вами без разрешения владельца учетной записи.|human
The Group of Seven has warned Russia of massive consequences and severe costs if President Vladimir Putin attacks Ukraine, according to a draft statement.|Согласно проекту заявления, Большая семерка предупредила Россию о масштабных последствиях и суровой расплате в том случае, если президент Владимир Путин начнет наступление на Украину.|human
US intelligence assesses that Russia could be planning a multi-front offensive on Ukraine as early as next year, involving up to 175,000 troops.|По оценкам спецслужб США, Россия может планировать наступление на Украину по нескольким фронтам с участием до 175 000 солдат уже в следующем году.|human
The Kremlin denies it plans to invade and says the West is gripped by Russophobia.|Кремль отрицает планы по захвату и говорит, что Запад объят русофобией.|human
Moscow says the expansion of NATO threatens Russia and has contravened assurances given to it as the Soviet Union collapsed in 1991.|Москва говорит, что продвижение НАТО угрожает России и нарушает гарантии, данные ей после распада Советского Союза в 1991 году.|human
At a meeting in the northern English city Liverpool, the G7 delegates said they were united in their condemnation of Russia's military build-up near Ukraine and they called on Moscow to de-escalate.|На встрече в североанглийском городе Ливерпуле, делегаты G7 сказали, что они едины в своем осуждении наращивания Россией военной мощи рядом с Украиной и призвали Москву к деэскалации.|human
"Russia should be in no doubt that further military aggression against Ukraine would have massive consequences and severe cost," the draft statement said, confirmed by G7 sources.|«Россия не должна сомневаться в том, что дальнейшая военная агрессия против Украины будет иметь масштабные последствия и суровую расплату», — сказано в проекте заявления, как подтверждают источники G7.|human
"We reaffirm our unwavering commitment to Ukraine's sovereignty and territorial integrity, as well as the right of any sovereign state to determine its own future," the draft said.|«Мы подтверждаем непоколебимую приверженность суверенитету и территориальной целостности Украины, а также право любого суверенного государства определять свое собственное будущее», — сказано в проекте заявления.|human
For Moscow, the growing NATO embrace of a neighbouring former Soviet republic - and what it sees as the nightmare possibility of alliance missiles in Ukraine targeted against Russia - is a "red line" it will not allow to be crossed.|Для Москвы рост НАТО вокруг бывшей советской республики — и это то, что она видит как кошмарную возможность для ракет союзников на Украине, направленных против России — это «красная линия», пересекать которую она не позволит.|human
Mr Putin has demanded legally binding security guarantees that NATO will not expand further east or place its weapons close to Russian territory; Washington has repeatedly said no country can veto Ukraine's NATO hopes.|Путин потребовал официально закрепленные гарантии безопасности и того, что НАТО не будет расширяться дальше на восток или размещать оружие вблизи от российской территории; Вашингтон несколько раз повторил, что ни одна страна не может наложить вето на мечты Украины о НАТО.|human
In 2014, Russia seized the Black Sea peninsula of Crimea from Ukraine, prompting the West to slap sanctions on Russia.|В 2014 году Россия забрала у Украины Крымский полуостров в Черном море, подтолкнув Запад наложить на Россию санкции.|human
The Kremlin said today that Mr Putin told US President Joe Biden that Russian troops posed no threat and that Moscow was being demonised for moving troops around its own territory.|Сегодня Кремль сообщил, что Путин сказал президенту США Джо Байдену, что размещение российских войск не представляет угрозы и что Москву демонизируют из-за перемещения войск на ее собственной территории.|human
Can you imagine all those people trying to get out of the parking lot when that touched down?|Вы можете представить себе всех людей, пытающихся уйти с парковки, когда это коснулось земли?|human
They'd all have been killed.|Они все были бы убиты.|human
instead of "Take Shelter!",|вместо «В укрытие!»,|human
that's different.|это другое.|human
Does anybody know if they were still working or if they were sheltering in there somewhere?|Знает ли кто-нибудь, они продолжали работать или прятались где-то там?|human
A dream to keep all children safe this Christmas|Мечта сохранить всех детей в безопасности на это Рождество|human
Her brother (nearly two) had to be persuaded not to walk off with the baby Jesus.|Ее брата (которому около двух) нужно убедить не уходить с младенцем Иисусом.|human
So there was the usual gentle chaos that attends any gathering of toddlers.|Итак, там был обычный легкий хаос, как и в любом месте, где собираются дети.|human
My granddaughter is four which means that half her life - half her life! - has been blighted by the pandemic.|Моей внучке четыре года, а это значит, что половина ее жизни — половина ее жизни! — была загублена пандемией.|human
Since she became properly aware she has known nothing but mask wearing, obsessive hand washing and keeping your distance.|Когда она начала осознавать себя, она не знала ничего, кроме ношения масок, постоянного мытья рук и поддержания дистанции.|human
On several occasions (through various lockdowns) when I saw her I didn't know if I should kiss her or not.|В нескольких случаях (на протяжении множества локдаунов) когда я видел ее, я не знал, стоит ли мне целовать ее.|human
What kind of message does that send into the receptive, super-alert brain of a tiny child?|Какой посыл это дает восприимчивому, очень внимательному мозгу крошечного ребенка?|human
I dread to think.|Мне страшно подумать.|human
I say this not as someone opposed to lockdowns or distancing.|Я говорю это не как противник локдаунов или дистанцирования.|human
For all the criticism of our Government not a single nation has got it exactly right.|Несмотря на критику правительства, ни в одной стране это не сделано в точности правильно.|human
So I used to be a huge Mindcrack fan back in the day.|Итак, когда-то я был большим фанатом Mindcrack.|human
Never missed a release from GuudeBoulderfist, loved the collabs, etc.|Никогда не пропускал выпусков от GuudeBoulderfist, любил коллаборации и т. д.|human
While watching a random YouTube feed, I came across a vid detailing Etho's channel history.|Во время бесцельного просмотра YouTube-ленты я наткнулся на видео, подробно рассказывающее об истории канала Etho.|human
This whole story happened after I moved on to other things myself, so it's all kind of new to me.|Вся эта история произошла после того, как я занялся другим, поэтому все это в новинку для меня.|human
What I am after is the other side of the picture?|Мне нужна другая сторона картины?|human
As I said, my mental health isn't stellar, and seeing an old group I was attached to as a fan parting ways without some dumb explosions that are all too common in the polarized public discourse could be kinda nice and stuff.|Как я уже говорил, мое психическое здоровье не безупречно и видеть, как группа, к которой я был привязан как фанат, распадается без шумихи, распространенной в обсуждениях разделившегося общества, довольно мило, но скучно.|human
So how was the response from 'the old gang'?|Итак, каков был ответ «старой банды»?|human
Did you keep doing stuff together?|Вы все еще работаете вместе?|human
Did you slowly drift apart?|Постепенно отдаляетесь друг от друга?|human
Still chat or invite one another to events?|Все еще общаетесь или приглашаете друг друга на разные мероприятия?|human
Again, I'm not expecting anything dramatic or to see people at each other's throats.|Опять же, я не жду ничего особенного или того, что люди будут перегрызать друг другу глотки.|human
I guess in a way, a form of low-key closure of something kinda small in my life to reflect a bit of positivity on my own mentally troubled butt.|Я предполагаю, что это, в каком-то роде, конец чего-то незначительного в моей жизни, чтобы немного позитивно подумать о моей собственной психически неуравновешенной натуре.|human
P.S. I couldn't help but see the charity fund raiser you had and the buttloads you collected.|P.S. Все, что я вижу — это благотворительный сбор и кучу денег, которые вы собрали.|human
are you on a page of a book?|вы на странице книги?|human
You can adjust the text size, fonts, line spacing, and justification to make reading easier on your eyes.|Вы можете настроить размер текста, шрифты, межстрочный интервал и выравнивание, чтобы сделать чтение более удобным для глаз.|human
While reading, tap the middle of your page to bring up the Reading Menu.|Во время чтения нажмите в центре страницы, чтобы вызвать меню чтения.|human
Tap the  Text icon.|Нажмите значок «Текст».|human
Thin (0.3mm - 0.5mm) DRY interdental brushes are ideal for clearing those tiny port holes which house your smart device microphones and speakers.|Тонкие (0,3–0,5 мм) СУХИЕ межзубные ершики идеальны для чистки мелких отверстий портов, в которые помещаются микрофоны и динамики вашего смарт-устройства.|human
They are a cheap product and safer than many other methods, such as rubbing alcohols, tooth picks, pins, and needles.|Это дешевый продукт и более безопасный, чем другие средства, такие как медицинский спирт, зубочистки, булавки или иголки.|human
I just used this method to clear the microphone port on my Samsung Galaxy Watch 4 Classic as it was not registering my voice when using speech to text functions.|Я использовал это средство, чтобы почистить порт для микрофона на моих Samsung Galaxy Watch4 Classic, когда они перестали распознавать мой голос для функции преобразования речи в текст.|human
After months of thinking, I would need to arrange a warranty replacement or need to book a repair.|Спустя месяцы размышлений мне понадобилось бы сделать замену по гарантии или заказать ремонт.|human
After much frustration shouting at my watch during phone calls so I could be heard and/or understood.|После всех криков безысходности на часы во время телефонных звонков, чтобы меня слышали и/или понимали.|human
After following manufacturer advice and using the water lock functions, resetting the device AND factory restoring my device.|После того, как последовал советам производителя и использовал функцию блокировки в воде, сбросил настройки устройства И восстановил заводские настройки на своем устройстве.|human
And after scouring the internet on multiple occasions.|И после неоднократного прочесывания Интернета.|human
There seemed to be no guaranteed satisfaction.|Оказалось, что гарантированного решения нет.|human
Then I had a revelation and I tried interdental brushes, and they work...|Затем меня осенило и я попробовал межзубные ершики и они подошли...|human
They work very VERY well!|Они работают очень, ОЧЕНЬ хорошо!|human
After a few pokes and twizzles with the thin but firm bristled rod, your device should work just as it did when it was brand new.|После нескольких тычков и прокручиваний тонким стержнем с жесткой щетиной ваше устройство должно работать так, как когда оно было новым.|human
I am very dissatisfied with the solution, what do I do if the problem occurs again in the next book?|Я испытываю недовольство этим решением, что мне следует сделать, если проблема появится снова со следующей книгой?|human
It is a rear occasion that it happens.|Такое случается очень редко.|human
I am sorry, due to quality purposes I will have to close this chat if I don’t receive a response in 2 minutes.|К сожалению, в целях обеспечения качества мне придется закрыть этот диалог при отсутствии ответа в течение 2 минут.|human
Should you have any further questions or concerns, you can always reply back to that email and we will be able to assist you further.|Если у Вас появятся дополнительные вопросы, Вы всегда можете ответить на это сообщение по этому адресу и мы сможем помочь Вам.|human
Thank you for contacting #PRS_ORG#, it was my pleasure to assist you today.|Спасибо, что обратились в #PRS_ORG#, мне было приятно помочь Вам.|human
I hope you have an excellent day.|Желаю Вам прекрасного дня.|human
Please keep tapping where the images are showing, are you able to see the images and follow where to tap?|Продолжайте нажимать туда, где отображаются изображения, вы можете видеть изображения и следить, куда нужно нажимать?|human
I will keep providing the images|Я продолжу предоставлять изображения|human
But please let me know if you were able to tap on your device where the images say|Но, пожалуйста, дайте мне знать, можете ли вы нажать на своем устройстве туда, куда указывают изображения|human
'Interview with the Vampire' author Anne Rice dies at age 80|Автор «Интервью с вампиром» Энн Райс умерла в возрасте 80 лет|human
The Shuttlebays of the Enterprise-D|Отсеки для шаттлов Энтерпрайз-D|human
The **Enterprise-D** of *The Next Generation* had **three** shuttlebays.|У **Энтерпрайз-D** *Нового поколения* **три** отсека для шаттлов.|human
On the show, we always see Shuttlebays 2 and 3 on decks 12 and 13.|Во время показа мы всегда видим отсеки для шаттлов 2 и 3 на палубах 12 и 13.|human
These two shuttlebays were represented by a full-size studio set that could house full-size shuttlecraft sets.|Эти два отсека для шаттлов представляют собой полноразмерную студийную декорацию, которая вмещает полноразмерные декорации шаттлов.|human
How come we never saw the main shuttlebay?|Как вышло, что мы никогда не видели главный отсек для шаттлов?|human
It was located below the main bridge on decks 3&4 and would presumably be a massive facility.|Он был расположен между главным мостиком на палубах 3 и 4 и, предположительно, был огромным сооружением.|human
Instead of going there, the bridge crew would take a turbolift ride right past it all the way down to deck 13.|Вместо того, чтобы пойти туда, экипаж мостика спускался на турболифте прямо на палубу 13.|human
In the original *Star Trek*, a miniature set was built and used with a miniature shuttle to give the shuttlebay life.|В оригинальном *Звездном пути* была построена миниатюрная декорация, которая использовалась с миниатюрой шаттла, чтобы придать естественности отсеку для шаттлов.|human
Characters were sometimes seen talking by doors that opened into the shuttlebay with the miniature set and shuttle superimposed to give the ship scale and life.|Иногда было видно, как персонажи разговаривают возле дверей, которые открывались в отсек для шаттлов с миниатюрной декорацией и наложением шаттла, чтобы придать кораблю масштаб и естественность.|human
Using Replaceable Standard Double Edge Blades just like the classic safety razor - Meaning you don't have to worry about stropping and sharpening and yet enjoy the closeness of a straight razor shave!|Использование заменяемых стандартных двухсторонних лезвий почти похоже на классическую безопасную бритву, — это значит, что вам не нужно беспокоиться об остановке и заточке, и в то же время можно наслаждаться плотностью бритья опасной бритвой!|human
Perfect for beginners who want to try the art of Shaving with Straight Razors.|Идеально для новичков, которые хотят попробовать средства The Art of Shaving с опасной бритвой.|human
Three or five blade razors irritate the skin much more and you need to press it hard against your skin to use them.|Три из пяти лезвий бритвы раздражают кожу гораздо больше и вам нужно сильно прижимать его к коже, чтобы его использовать.|human
Therefore, this shaving product is so great and often using for better skin care products than the average shaver.|Следовательно, это изделие для бритья настолько классное, что его чаще используют для лучшей заботы о коже, чем обычную бритву.|human
Your face will thank you later.|Ваше лицо будет вам благодарно.|human
Ready to Use with one Pack of Blades|Готово к использованию с одним набором лезвий|human
Comes in a Haryali London Gift Designer Box|Продается в подарочной дизайнерской коробке Haryali London|human
Images are of actual items so you can be confident that what you see is what you get.|Изображения относятся к фактическим товарам, так что вы можете быть уверены в том, что вы получите то, что видите.|human
Haryali London instruments have a life time warranty against defects in materials and workmanship.|Приборы Haryali London имеют пожизненную гарантию на дефекты материалов и качество изготовления.|human
Any product which proves to be defective will be repaired or replaced free of charge.|Любой продукт, который оказывается неисправным, будет отремонтирован или замещен бесплатно.|human
We guarantee against breakage, joint failure, and corrosion under normal use.|Мы гарантируем отсутствие поломок, повреждения соединений и появления коррозии при надлежащем использовании.|human
However if you want to open a recent purchased book from #PRS_ORG# in your #PRS_ORG# e reader you would only need to sync your e reader via WiFi and download the book in your e reader to start reading, computer or email transfer is not necessary.|Однако если вы хотите открыть недавно купленные книги в #PRS_ORG# на своей электронной книге #PRS_ORG#, вам будет нужно только синхронизировать электронную книгу через сеть Wi-Fi и загрузить книгу на свою электронную книгу, чтобы начать чтение, переносить ее через компьютер или электронную почту не требуется.|human
If the book still has issues to open after sync in your e reader we can try some trouble shooting process.|Если у книги все еще имеются проблемы с открытием после синхронизации со своей электронной книгой, мы можем попробовать выполнить некоторые действия по устранению неполадок.|human
I would need to know if the book shows error message, seem blocked or not even appearing in your #PRS_ORG# account inside your #PRS_ORG# e reader.|Мне понадобится узнать, покажет ли книга сообщение об ошибке, заблокируется или даже не появится в учетной записи #PRS_ORG# на вашей электронной книге #PRS_ORG#.|human
Flights were cancelled at Serbia's main airport in Belgrade on Sunday and many areas reported power cuts and damage to buildings.|В главном аэропорте Сербии в Белграде были отменены воскресные рейсы, а многие районы сообщили об отключениях электричества и повреждении зданий.|human
Much of western Serbia was without electricity as authorities warned against unnecessary travel and appealed to people in Serbia to conserve power.|Большая часть западной Сербии осталась без электричества, так как власти предостерегли жителей от несрочных поездок и призвали жителей Сербии экономить электроэнергию.|human
There was some damage to cars and buildings in Belgrade due to the snow.|Снегопад привел к повреждениям машин и зданий в Белграде.|human
Several flights from and to Belgrade's main airport were cancelled because of the weather conditions and a brief power cut to the main terminal, Belgrade media reported.|Несколько рейсов в главный аэропорт Белграда и из него были отменены в связи с погодными условиями и непродолжительными отключениями электроэнергии в главном терминале, сообщают СМИ Белграда.|human
A highway leading to the airport was closed for several hours because of a traffic jam caused by the snowfall.|Трасса, ведущая к аэропорту, на несколько часов была перекрыта из-за затора, вызванного снегопадом.|human
Passengers on a local train to Belgrade were stuck in snow for seven hours before they were provided bus transportation to the capital.|Пассажиры местного поезда до Белграда не могли продолжить движение из-за снега и семь часов ожидали автобус, который доставил их в столицу.|human
Emergency services have been assisting authorities in the cleanup operation, while another alert for more snow and ice has been issued.|Службы спасения принимали участие в операциях по расчистке, в то время как поступило еще одно предупреждение о большем количестве снега и льда.|human
Meanwhile, in Bulgaria, heavy rains and major floods have been ravaging southern parts of the country over the weekend, forcing authorities there to declare a state of emergency.|Тем временем в Болгарии за выходные проливные дожди и крупные наводнения нанесли огромный ущерб южной части страны, что заставило власти объявить чрезвычайное положение.|human
The worst-hit areas were in the Smolyan region, near the border with Greece, where rivers burst their banks to cause the overflowing of roads and the flooding of homes.|Больше всего пострадали районы Смолянской области, недалеко от границы с Грецией, где река размыла берега и затопила дороги и дома.|human
Several trucks were trapped in a landslide on an intercity road.|Несколько грузовых автомобилей оказались заблокированы из-за обвала на междугородней дороге.|human
Strong winds disrupted power supply in dozens of villages, authorities said.|Сильный ветер привел к перебоям с электроэнергией в десятках деревень, сообщают власти.|human
When it comes to buying quality gear, a sleeping bag needs to be first on the list.|Когда дело доходит до покупки качественного снаряжения, первым в списке должен быть спальный мешок.|human
You can scrimp on all manner of kit but not on a sleeping bag.|Вы можете сэкономить на различных деталях экипировки, но не на спальном мешке.|human
A lot of your time when out camping or expeditions will be spent in your sleeping and with Snugpak you are assured quality.|В спальном мешке вы проведете много времени во время походов или экспедиций, и с Snugpak вам обеспечено качество.|human
A tried and tested favourite, this British made sleeping bag combines micro pack size with serious performance.|Фаворит, проверенный временем, этот спальный мешок, сделанный в Великобритании, сочетает маленькие размеры с отличным функционалом.|human
Many view the Softie 12 Osprey the ultimate four season synthetic fill sleeping bag available.|Многие считают Softie 12 Osprey наилучшим всесезонным спальным мешком с синтетическим наполнением из представленных на рынке.|human
Since 1987, it has been setting the standard for winter pack size performance for others to follow.|Он устанавливает стандарт соотношения размера и характеристик для зимних спальных мешков с 1987 года.|human
Those who know about the Softie 12 Osprey have either used one or wished they had one.|Все, кому известен Softie 12 Osprey, либо уже им пользовались, либо желают им обзавестись.|human
Used from the heights of the Scottish mountains to the bottom of your snow hole.|Его используют от шотландских вершин до глубин снежных нор.|human
The Softie 12 Osprey like many of our other sleeping bags in the Softie Original Series have been assigned a NATO Stock Number.|Как и многим другим спальным мешкам из нашей серии Softie Original, Softie 12 Osprey присвоен инвентарный номер НАТО.|human
The quilted top of the bag is tailored, pleated, and fitted with a drawcord so it pulls into shape, rather like a jacket hood.|Стеганый верх мешка специально сшит, плиссирован и оснащен шнуром, чтобы затягиваться в нужную форму, подобно капюшону куртки.|human
