Why the Queen made an error of judgement on proroguing Parliament - Joyce McMillan|Почему королева допустила ошибку в вынесении решения о пророгации парламента - Joyce McMillan|mt
"The helicopter was on way from Khirmu (Arunanchal) to Yonphula on duty," the Army said in a statement.|"Вертолет направлялся из Хирму (Арунанчаль) в Йонпхулу на дежурство", - говорится в сообщении армии.|mt
"The helicopter was on way from Khirmu (Arunanchal) to Yonphula on duty," the Army said in a statement.|" Вертолет направлялся из Хирму ( Арунанчал ) в Йонпхулу на дежурство " , - говорится в сообщении армии .|mt
"The helicopter was on way from Khirmu (Arunanchal) to Yonphula on duty," the Army said in a statement.|«Вертолет направлялся из Хирму (Арунанчал) в дежурную Йонфулу», - говорится в заявлении армии.|mt
Another 400m hurdler Dharun Ayyasamy, the national record holder, tumbled after the last hurdle in his heat to fail to qualify for the semifinals.|Другой бегун на 400 метров с барьерами Дхарун Айясами, национальный рекордсмен, упал после последнего препятствия в своей жаре, чтобы не пройти в полуфинал.|mt
This season, he has been consistent around 7.80m with three jumps in the 7.90s, besides the 8.00m in Patiala on August 16.|В этом сезоне он показал результат около 7,80 м с тремя прыжками в 7,90 м , кроме 8,00 м в Патиале 16 августа .|mt
This season, he has been consistent around 7.80m with three jumps in the 7.90s, besides the 8.00m in Patiala on August 16.|В этом сезоне он был последовательен около 7 .80 м с тремя прыжками в 7 .90-х, кроме 8 .00м в Патиале 16 августа.|mt
Woodstock Exchange, the UK-SA Tech Hub, focuses on skills development and access to markets by assisting entrepreneurs, particularly women, to acquire skills, resources and support.|Woodstock Exchange, UK-SA Tech Hub, уделяет основное внимание развитию навыков и доступу к рынкам, помогая предпринимателям, особенно женщинам, приобретать навыки, ресурсы и поддержку.|mt
Mother-of-two Naadiya Moosajee, a South African engineer, social entrepreneur and co-founder of Women in Engineering, revealed: 'We acknowledged the importance of not just education for girls but being role models for boys - that we are women who are influential and who boys can look up to as well,' People reports.|Мать двоих Наадия Моосаджи, южноафриканский инженер, социальный предприниматель и соучредитель организации "Женщины в инженерном деле", рассказала: "Мы признали важность не только образования для девочек, но и того, чтобы быть образцом для подражания для мальчиков, - что мы женщины, которые являются влиятельными и к которым мальчики также могут относиться", сообщает People.|mt
'She talked about being a mother and having duties as a duchess and fulfilling what her heart desires - and that it can't just fade away now that you're a duchess,' Modise recalled.|"Она говорила о том, мать и обязанности герцогини и выполнения того, что ее сердце желания - и что она не может просто исчезнуть теперь, когда вы герцогиня", Модисе вспоминал.|mt
'She talked about being a mother and having duties as a duchess and fulfilling what her heart desires - and that it can't just fade away now that you're a duchess,' Modise recalled.|"Она говорила о том, чтобы быть матерью и иметь обязанности герцогини и выполнять то, что ее сердце желает - и что это не может просто исчезнуть сейчас, когда вы герцогиня", - вспоминала Модизе.|mt
That you have to be true to who you are.|Что ты должен быть верен тому, кто ты есть.|mt
'She wasn't referring to being a royal, but life in general when you have challenges,' Modise added, admitting she felt a bit 'awestruck' by Meghan.|"Она не имела в виду быть королевской, но жизнь в целом, когда у вас есть проблемы", - добавила Модизе, признав, что чувствовала себя немного "неуклюжей" Меган.|mt
A lot of us have done amazing things as founders, but meeting a royal is quite daunting.|Многие из нас делали удивительные вещи как основатели, но встреча с королевским довольно сложна.|mt
Meghan also revealed she's enjoying the pressures of being a working mother, admitting she finds juggling being a royal and looking after baby Archie 'a lot' but 'all so exciting'.|Меган также показала, что ей нравится быть работающей матерью, признав, что она считает, что жонглирование королевским и заботится о ребенке Арчи "много", но "все так захватывающе".|mt
Meghan also revealed she's enjoying the pressures of being a working mother, admitting she finds juggling being a royal and looking after baby Archie 'a lot' but 'all so exciting'.|Меган также показала, что она наслаждается давлением быть работающей матерью, признав, что она считает жонглирование быть королевской и уход за ребенком Арчи "много", но "все так интересно".|mt
Speaking to mother-of-two Lara Rosmarin, CEO of Cape Innovation and Technology, Meghan said: 'We're only five months in right now.|Обращаясь к матери двоих Ларе Росмарин, генеральному директору Cape Innovation and Technology, Меган сказала: "Сейчас у нас всего пять месяцев.|mt
This was during an audience granted to the French ambassador to Angola, Sylvain Itté, on Friday in Luanda aimed at strengthening cultural cooperation between the countries.|Это было во время аудиенции, предоставленной французскому послу в Анголе Сильвену Итте в пятницу в Луанде, направленной на укрепление культурного сотрудничества между странами.|mt
This was during an audience granted to the French ambassador to Angola, Sylvain Itté, on Friday in Luanda aimed at strengthening cultural cooperation between the countries.|Это произошло во время аудиенции, предоставленной послу Франции в Анголе Сильвену итте в пятницу в Луанде, направленной на укрепление культурного сотрудничества между странами.|mt
This was during an audience granted to the French ambassador to Angola, Sylvain Itté, on Friday in Luanda aimed at strengthening cultural cooperation between the countries.|Это было это во время аудитории, предоставленной послу Франции в Анголе Сильвену Итте в пятницу в Луанде с целью укрепления культурного сотрудничества между странами.|mt
Maria de Jesus said that the objective is to make better use of infrastructure and making it available to the public.|Мария де Хесус заявила, что цель состоит в том, чтобы улучшить использование инфраструктуры и сделать ее доступной для общественности.|mt
Maria de Jesus said that the objective is to make better use of infrastructure and making it available to the public.|Мария де Хесус сказала, что цель состоит в том, чтобы лучше использовать инфраструктуру и сделать ее доступной для общественности.|mt
The Iron Palace is a historic building believed to be the work of Gustave Eiffel.|Железный дворец является историческим зданием, которое, как полагают, является работой Гюстава Эйфеля.|mt
The Iron Palace is a historic building believed to be the work of Gustave Eiffel.|Железный дворец-это историческое здание, которое считается работой Гюстава Эйфеля.|mt
She feared retaliation if she confessed the truth, she said.|Она опасалась возмездия, если призналась в правде, сказала она.|mt
I want to see them dismissed from the school.|Я хочу, чтобы их уволили из школы.|mt
Allen's family pays nearly $12,000 per year for Amari to attend the school, which made headlines earlier this year after Karen Pence took an art teaching job at the famously anti-LGBTQ institution.|Семья Аллена платит почти 12 000 долларов в год за посещение школы Амари, что стало заголовком в начале этого года после того, как Карен Пенс заняла преподавательскую работу в знаменитом учреждении против ЛГБТК.|mt
"We take seriously the emotional and physical well-being of all our students, and have a zero-tolerance policy for any kind of bullying or abuse," Immanuel Christian School said in a statement.|"Мы серьезно относимся к эмоциональному и физическому благополучию всех наших учеников и проводим политику нулевой терпимости к любым видам издевательств или злоупотреблений", - говорится в заявлении христианской школы Иммануэля.|mt
We are deeply disturbed by the allegations being made, and are in communication with the family of the alleged victim to gather information and provide whatever support we can.|Мы глубоко обеспокоены выдвигаемыми обвинениями и поддерживаем контакты с семьей предполагаемой жертвы, с тем чтобы собрать информацию и оказать любую возможную поддержку.|mt
Disgusting video footage has emerged of a passenger urinating on a Sydney train as horrified school students watch just metres away.|Появились отвратительные видеозаписи, на которых пассажир мочеиспускается в сиднейском поезде, когда ужасающиеся школьники смотрят всего в нескольких метрах.|mt
Disgusting video footage has emerged of a passenger urinating on a Sydney train as horrified school students watch just metres away.|Появилась отвратительная видеозапись, на которой пассажир мочится в Сиднейском поезде, а испуганные школьники смотрят всего в нескольких метрах от него.|mt
It's an absolutely disgusting thing to do; my dog wouldn't even do that.|Это абсолютно отвратительно делать; моя собака даже не стала бы этого делать.|mt
It's an absolutely disgusting thing to do; my dog wouldn't even do that.|Это абсолютно отвратительная вещь, моя собака даже этого не сделает.|mt
Her children told her the man was laying on the seats asleep when they got on, then during the trip he got up and started urinating on the ground.|Ее дети сказали ей, что мужчина лежал на сиденьях спящим, когда они садились, затем во время поездки он встал и начал мочиться на землю.|mt
Facebook users flocked to the post to call out the passenger for his disgusting behaviour.|Пользователи Facebook стекались к посту, чтобы призвать пассажира к отвратительному поведению.|mt
"What an animal!" one person said.|"Какое животное!" - сказал один человек.|mt
"What an animal!" one person said.|- Что за зверь!- сказал один человек.|mt
Mate take a leak before you leave the house," another wrote.|Напарник возьмет утечку, прежде чем вы покинете дом ", - написал другой.|mt
"Sydney Trains encourages customers to remain courteous to others while travelling on our network," they said.|"Сиднейские поезда поощряют клиентов оставаться вежливыми с другими во время поездок по нашей сети", - сказали они.|mt
"Sydney Trains encourages customers to remain courteous to others while travelling on our network," they said.|"Сидней Трейнс призывает клиентов оставаться вежливыми к другим во время путешествий по нашей сети", - сказали они.|mt
The spokesperson said Transport Officers travel across the network and have the power to issue penalty notices and cautions for ticketing as well as "minor behavioural offences."|Пресс-секретарь сказал, что транспортные офицеры путешествуют по сети и имеют право выдавать штрафные уведомления и предупреждения за билеты, а также "незначительные поведенческие нарушения"."|mt
The spokesperson said Transport Officers travel across the network and have the power to issue penalty notices and cautions for ticketing as well as "minor behavioural offences."|Пресс-секретарь сказал, что сотрудники транспортной службы путешествуют по сети и имеют право выдавать штрафные уведомления и предупреждения о выдаче билетов, а также о "незначительных поведенческих правонарушениях".|mt
They added: "We also work closely with the NSW Police Transport Command, which is responsible for crime prevention across the rail network."|Они добавили: "Мы также тесно сотрудничаем с транспортным командованием полиции Нового Южного Уэльса, которое отвечает за предупреждение преступности на всей железнодорожной сети."|mt
They added: "We also work closely with the NSW Police Transport Command, which is responsible for crime prevention across the rail network."|Они добавили: "Мы также тесно сотрудничаем с полицейским транспортным командованием НЮУ, которое отвечает за предупреждение преступности на всей железнодорожной сети".|mt
Week in, week out, he's never really let his side down.|Неделя за неделей он никогда не подводил свою сторону .|mt
Week in, week out, he's never really let his side down.|Неделя за неделей он никогда не подводит свою сторону.|mt
Maybe it is that game management.|Может быть, это и есть управление игрой.|mt
Maybe it is that game management.|Может быть, это управление игрой.|mt
Father son duo make Australian wheelchair rugby league history|Дуэт Father son сделал австралийскую историю регбилиг на колясках|mt
Father son duo make Australian wheelchair rugby league history|Отец сын дуэт делает австралийскую историю лиги регби инвалидного кресла|mt
As a father you really couldn't ask for anything better.|Как отец, ты действительно не мог просить ничего лучшего.|mt
As a father you really couldn't ask for anything better.|Как отец, ты не мог просить ничего лучшего.|mt
To get the chance to show what we can do together - here in Sydney - words can't describe it, really.|Чтобы получить возможность показать , что мы можем сделать вместе - здесь , в Сиднее - слова не могут описать это , на самом деле .|mt
To get the chance to show what we can do together - here in Sydney - words can't describe it, really.|Чтобы получить шанс показать, что мы можем сделать вместе - здесь, в Сиднее - слова не могут описать это, на самом деле.|mt
In his eyes, once you get a glimpse of wheelchair rugby league, you'll be hooked.|В его глазах , как только вы заглянете в регби на инвалидных колясках , вас зацепит .|mt
In his eyes, once you get a glimpse of wheelchair rugby league, you'll be hooked.|В его глазах, как только ты увидишь регбилиг на колясках, тебя зацепят.|mt
I play wheelchair basketball with Cory on Wednesday nights socially but he can't play in tournaments.|Я играю в баскетбол на колясках с Кори в среду вечером в обществе, но он не может играть в турнирах.|mt
I play wheelchair basketball with Cory on Wednesday nights socially but he can't play in tournaments.|Я играю в баскетбол на колясках с Кори по вечерам в среду , но он не может играть в турнирах .|mt
Cory and Craig Cannane will represent their country alongside one another.|Кори и Крейг Каннан будут представлять свою страну рядом друг с другом.|mt
It is played across two basketball courts and features five players per team.|В нем играют на двух баскетбольных площадках по пять игроков от каждой команды .|mt
It is played across two basketball courts and features five players per team.|Он играет на двух баскетбольных площадках и имеет пять игроков на команду.|mt
It is played across two basketball courts and features five players per team.|В ней играют на двух баскетбольных площадках и по пять игроков на команду.|mt
A tackle is called when a player takes the tag of an opponent.|Подкат называется, когда игрок берет тег соперника.|mt
There are two sides to this: one citing his violent behaviour in the past, calling to prevent it from happening again, and the other side which believes in the power of change and rehabilitation.|В этом есть две стороны: одна из них ссылается на свое насильственное поведение в прошлом, призывая не допустить его повторения, а другая - на силу перемен и реабилитации.|mt
De Grood did stab and kill five people during a psychotic break.|Де Гроуд ударил ножом и убил пять человек во время психотического перерыва.|mt
Sudan: War Crimes Victims Accuse French Bank of Complicity in Regime Abuses|Судан: Жертвы военных преступлений обвиняют Французский банк в соучастии в злоупотреблениях режима|mt
Sudan: War Crimes Victims Accuse French Bank of Complicity in Regime Abuses|Судан: жертвы военных преступлений обвиняют французский банк в соучастии в злоупотреблениях режима|mt
BNP Paribas has been targeted before over its dealings with Sudan.|BNP Paribas был мишенью, прежде чем за его отношения с Суданом.|mt
BNP Paribas has been targeted before over its dealings with Sudan.|BNP Paribas ранее подвергался нападкам из-за своих отношений с Суданом.|mt
BNP Paribas has been targeted before over its dealings with Sudan.|BNP Paribas и раньше подвергалась нападкам из-за своих сделок с Суданом.|mt
BNP Paribas has been targeted before over its dealings with Sudan.|Ранее "БНП Париба" подвергалась нападениям в связи с ее отношениями с Суданом.|mt
In 2015, a U.S. judge sentenced the bank to five years of probation and fined it nearly $9 billion after it pleaded guilty to violating United States sanctions against not only Sudan, but also Iran and Cuba.|В 2015 году американский судья приговорил банк к пяти годам условно и оштрафовал его почти на 9 миллиардов долларов после того, как он признал себя виновным в нарушении санкций Соединенных Штатов против не только Судана, но и Ирана и Кубы.|mt
In 2015, a U.S. judge sentenced the bank to five years of probation and fined it nearly $9 billion after it pleaded guilty to violating United States sanctions against not only Sudan, but also Iran and Cuba.|В 2015 году американский судья приговорил банк к пяти годам испытательного срока и оштрафовал его почти на $9 млрд после того, как он признал себя виновным в нарушении санкций США не только против Судана, но и Ирана и Кубы.|mt
In 2015, a U.S. judge sentenced the bank to five years of probation and fined it nearly $9 billion after it pleaded guilty to violating United States sanctions against not only Sudan, but also Iran and Cuba.|В 2015 году американский судья приговорил банк к пяти годам испытательного срока и оштрафовал его почти на 9 миллиардов долларов после того, как он признал себя виновным в нарушении санкций США против не только Судана, но и Ирана и Кубы.|mt
In 2015, a U.S. judge sentenced the bank to five years of probation and fined it nearly $9 billion after it pleaded guilty to violating United States sanctions against not only Sudan, but also Iran and Cuba.|В 2015 году американский судья приговорил банк к пяти годам условного заключения и оштрафовал его почти на 9 миллиардов долларов после того, как он признал себя виновным в нарушении санкций Соединенных Штатов против не только Судана, но и Ирана и Кубы.|mt
This case is different: Rights activists say it's the first effort to hold the bank criminally responsible for alleged complicity in crimes against humanity, genocide and torture in Sudan between 2002-2008.|Это дело другое: правозащитники говорят, что это первая попытка привлечь банк к уголовной ответственности за предполагаемое соучастие в преступлениях против человечности, геноциде и пытках в Судане в период с 2002 по 2008 год.|mt
This case is different: Rights activists say it's the first effort to hold the bank criminally responsible for alleged complicity in crimes against humanity, genocide and torture in Sudan between 2002-2008.|Дело обстоит иначе: правозащитники говорят, что это первая попытка привлечь банк к уголовной ответственности за предполагаемое соучастие в преступлениях против человечности, геноциде и пытках в Судане между 2002-2008.|mt
This case is different: Rights activists say it's the first effort to hold the bank criminally responsible for alleged complicity in crimes against humanity, genocide and torture in Sudan between 2002-2008.|Этот случай отличается: правозащитники говорят, что это первая попытка привлечь банк к уголовной ответственности за предполагаемое соучастие в преступлениях против человечности, геноциде и пытках в Судане в период 2002-2008 годов.|mt
This case is different: Rights activists say it's the first effort to hold the bank criminally responsible for alleged complicity in crimes against humanity, genocide and torture in Sudan between 2002-2008.|Этот случай отличается: правозащитники говорят, что это первая попытка привлечь банк к уголовной ответственности за предполагаемое соучастие в преступлениях против человечности, геноциде и пытках в Судане в период с 2002 по 2008 год.|mt
"These crimes do not occur in a vacuum and no funds," said Cynthia Tai, executive director of U.S.-based nonprofit Project Expedite Justice, one of the rights groups supporting the Sudanese victims in the case.|"Эти преступления не происходят в вакууме и без средств",-сказала Синтия Тай, исполнительный директор американского некоммерческого проекта Accedite Justice, одной из правозащитных групп, поддерживающих суданских жертв в этом деле.|mt
"These crimes do not occur in a vacuum and no funds," said Cynthia Tai, executive director of U.S.-based nonprofit Project Expedite Justice, one of the rights groups supporting the Sudanese victims in the case.|"Эти преступления не происходят в вакууме и без средств",-сказала Синтия Тай, исполнительный директор американского некоммерческого проекта Expedite Justice, одной из правозащитных групп, поддерживающих суданских жертв по этому делу.|mt
"These crimes do not occur in a vacuum and no funds," said Cynthia Tai, executive director of U.S.-based nonprofit Project Expedite Justice, one of the rights groups supporting the Sudanese victims in the case.|"Эти преступления происходят не в вакууме и без средств", - сказала Синтия Тай, исполнительный директор американского некоммерческого проекта "Ускорьте правосудие", одной из правозащитных групп, поддерживающих суданских жертв по этому делу.|mt
"These crimes do not occur in a vacuum and no funds," said Cynthia Tai, executive director of U.S.-based nonprofit Project Expedite Justice, one of the rights groups supporting the Sudanese victims in the case.|«Эти преступления не происходят в вакууме и не имеют средств, - говорит Синтия Тай, исполнительный директор базирующегося в США некоммерческого проекта Expedite Justice, одной из правозащитных групп, поддерживающих суданских жертв по этому делу.|mt
"They occur because people can buy weapons, they can buy trucks and because people can buy the tools they need to commit these grave violations," she added.|"Они происходят потому, что люди могут покупать оружие, они могут покупать грузовики и потому, что люди могут покупать инструменты, необходимые им для совершения этих серьезных нарушений", - добавила она.|mt
"They occur because people can buy weapons, they can buy trucks and because people can buy the tools they need to commit these grave violations," she added.|"Они происходят потому, что люди могут купить оружие, они могут купить грузовики и потому, что люди могут купить инструменты, необходимые им для совершения этих серьезных нарушений", - добавила она.|mt
"They occur because people can buy weapons, they can buy trucks and because people can buy the tools they need to commit these grave violations," she added.|«Они происходят потому, что люди могут покупать оружие, они могут покупать грузовики и потому, что люди могут купить инструменты, необходимые для совершения этих серьезных нарушений», - добавила она.|mt
"They occur because people can buy weapons, they can buy trucks and because people can buy the tools they need to commit these grave violations," she added.|"Они происходят потому, что люди могут покупать оружие, они могут покупать грузовики и потому что люди могут покупать инструменты, необходимые для совершения этих серьезных нарушений", добавила она.|mt
The International Criminal Court issued arrest warrants against Bashir on war crimes and genocide charges in Sudan's Darfur region but has been unable to prosecute him in The Hague.|Международный уголовный суд выдал ордера на арест Башира в связи с военными преступлениями и обвинениями в геноциде в суданском регионе Дарфур, но не смог привлечь его к ответственности в Гааге.|mt
The International Criminal Court issued arrest warrants against Bashir on war crimes and genocide charges in Sudan's Darfur region but has been unable to prosecute him in The Hague.|Международный уголовный суд выдал ордера на арест Башира по обвинению в военных преступлениях и геноциде в районе Дарфура в Судане, но не смог привлечь его к ответственности в Гааге.|mt
The International Criminal Court issued arrest warrants against Bashir on war crimes and genocide charges in Sudan's Darfur region but has been unable to prosecute him in The Hague.|Международный уголовный суд выдал ордера на арест Башира по обвинению в военных преступлениях и геноциде в суданском регионе Дарфур, но не смог привлечь его к ответственности в Гааге.|mt
The International Criminal Court issued arrest warrants against Bashir on war crimes and genocide charges in Sudan's Darfur region but has been unable to prosecute him in The Hague.|Международный уголовный суд выдал ордера на арест Башира по военным преступлениям и обвинениям в геноциде в суданском регионе Дарфур, но не смог привлечь его к ответственности в Гааге.|mt
The ousted leader is on trial in his home country on corruption charges.|Свергнутый лидер находится под судом на родине по обвинению в коррупции.|mt
The ousted leader is on trial in his home country on corruption charges.|Свергнутый лидер находится под судом в своей родной стране по обвинению в коррупции.|mt
"We can take them to court, and I think that will be a first step," said Abdalhaleim Hassan, one of the Sudanese filing the complaint.|«Мы можем обратиться в суд, и я думаю, что это будет первым шагом», - сказал Абдалхайм Хасан, один из суданцев, подающих жалобу.|mt
"We can take them to court, and I think that will be a first step," said Abdalhaleim Hassan, one of the Sudanese filing the complaint.|"Мы можем передать их в суд, и я думаю, что это будет первым шагом", - сказал Абдальхалейм Хасан, один из суданцев, подающих жалобу.|mt
"We can take them to court, and I think that will be a first step," said Abdalhaleim Hassan, one of the Sudanese filing the complaint.|"Мы можем привлечь их к суду, и я думаю, что это будет первым шагом", - сказал Абдалхалейм Хассан, один из суданцев, подавших жалобу.|mt
He says the government-backed Janjaweed militia attacked his village in Darfur numerous times, killing people including relatives.|По его словам, поддерживаемые правительством ополченцы «Джанджавид» неоднократно нападали на его деревню в Дарфуре, убивая людей, включая родственников.|mt
He says the government-backed Janjaweed militia attacked his village in Darfur numerous times, killing people including relatives.|Он говорит, что поддерживаемые правительством ополченцы « Джанджавид » неоднократно нападали на его деревню в Дарфуре, убивая людей, включая родственников.|mt
He says the government-backed Janjaweed militia attacked his village in Darfur numerous times, killing people including relatives.|Он говорит, что поддерживаемое правительством ополчение "Джанджавид" неоднократно нападало на его деревню в Дарфуре, убивая людей, включая родственников.|mt
He says the government-backed Janjaweed militia attacked his village in Darfur numerous times, killing people including relatives.|Он говорит, что поддерживаемая правительством милиция джанджавидов неоднократно нападала на его деревню в Дарфуре, убивая людей, включая родственников.|mt
Later, as a student rights activist, he says he was imprisoned and tortured.|Позже, будучи активистом по защите прав студентов, он говорит, что был заключен в тюрьму и подвергнут пыткам.|mt
Later, as a student rights activist, he says he was imprisoned and tortured.|Позже, будучи активистом-студентом, он говорит, что его посадили в тюрьму и пытали.|mt
Later, as a student rights activist, he says he was imprisoned and tortured.|Позже, будучи борцом за права студентов, он говорит, что был заключен в тюрьму и подвергнут пыткам.|mt
Later, as a student rights activist, he says he was imprisoned and tortured.|Позже , будучи активистом движения за права студентов , он говорит , что его посадили в тюрьму и пытали .|mt
Later, as a student rights activist, he says he was imprisoned and tortured.|Позже, будучи активистом студенческих прав, он говорит, что был заключен в тюрьму и подвергался пыткам.|mt
He now lives in the United States.|Сейчас он живет в США.|mt
He now lives in the United States.|Сейчас он живет в Соединенных Штатах.|mt
This is not the first effort to hold French businesses responsible for rights abuses committed overseas.|Это не первая попытка привлечь французские предприятия к ответственности за нарушения прав, совершенные за рубежом.|mt
This is not the first effort to hold French businesses responsible for rights abuses committed overseas.|Это не первая попытка привлечь французский бизнес к ответственности за нарушения прав, совершенные за рубежом.|mt
Authorities here are looking into whether Lafarge cement manufacturer paid the Islamic State group to keep its factories running in areas it controlled in Syria.|Власти изучают вопрос о том, заплатил ли производитель цемента Lafarge группировке "Исламское государство" за то, чтобы ее заводы были работать в районах, которые она контролировала в Сирии.|mt
Authorities here are looking into whether Lafarge cement manufacturer paid the Islamic State group to keep its factories running in areas it controlled in Syria.|Власти здесь изучают, заплатил ли производитель цемента Lafarge группировке "Исламское государство" за то, чтобы ее заводы работали в районах, которые она контролирует в Сирии.|mt
Authorities here are looking into whether Lafarge cement manufacturer paid the Islamic State group to keep its factories running in areas it controlled in Syria.|Власти здесь изучают вопрос о том, заплатил ли производитель цемента Lafarge группе « Исламское государство » за то, чтобы ее заводы были в районах, которые она контролировала в Сирии.|mt
Authorities here are looking into whether Lafarge cement manufacturer paid the Islamic State group to keep its factories running in areas it controlled in Syria.|Местные власти выясняют, заплатил ли производитель цемента Lafarge группировке "Исламское государство" за то, чтобы ее заводы работали в районах, которые она контролирует в Сирии.|mt
Anjali Sualy is a lawyer for the Paris-based International Federation for Human Rights, which is also supporting the Sudanese victims.|Анджали Суали является адвокатом базирующейся в Париже Международной федерации по правам человека, которая также оказывает поддержку суданским жертвам.|mt
"We hope that by taking the step that we have today, we've put these companies on notice that they need to be aware that these types of business deals are risky," Sualy said.|"Мы надеемся, что, приняв шаг, который мы имеем сегодня, мы поставили эти компании на уведомление, что они должны знать, что эти виды деловых сделок являются рискованными", сказал Sualy.|mt
"We hope that by taking the step that we have today, we've put these companies on notice that they need to be aware that these types of business deals are risky," Sualy said.|"Мы надеемся, что, сделав шаг, который у нас есть сегодня, мы уведомили эти компании о том, что они должны знать, что эти типы деловых сделок являются рискованными", - сказал Суали.|mt
"We hope that by taking the step that we have today, we've put these companies on notice that they need to be aware that these types of business deals are risky," Sualy said.|" Мы надеемся , что , сделав шаг , который мы делаем сегодня , мы обратили внимание этих компаний на то , что они должны понимать , что подобные бизнес-сделки являются рискованными " , - сказал Суали .|mt
Cardiff council backs plan to give new streets Welsh names|Совет Кардиффа планирует дать новым улицам валлийские названия|mt
Cardiff council's cabinet is hoping the move will eventually mean there are as many Welsh street names as English ones in the city and bolster the language.|Кабинет совета Кардиффа надеется, что переезд в конечном итоге будет означать, что в городе будет столько же валлийских названий улиц, сколько английских, и укрепит язык.|mt
The council will also make sure existing signs on city centre streets will be in Welsh and English when they are upgraded.|Совет также удостоверит, что существующие знаки на улицах центра города будут на валлийском и английском языках, когда они будут обновлены.|mt
The council will also make sure existing signs on city centre streets will be in Welsh and English when they are upgraded.|Совет также убедится, что существующие знаки на улицах центра города будут на валлийском и английском языках, когда они будут обновлены.|mt
The council will also make sure existing signs on city centre streets will be in Welsh and English when they are upgraded.|Совет также удостоверится, что существующие указатели на улицах центра города будут на валлийском и английском языках, когда они будут обновлены.|mt
